id,number,direction,streetName,suffix,unit,city,state,postalCode
1,27257,'SE','Monomials','Estate',263001741,'Lidzbark warmiński','Alaska',26549
2,51608,'SE','Cation','Commons',901687355,'Brentwood','Alaska',93748
3,49566,'NE','Schuyt','Street',137451541,'Lidzbark warmiński','Alaska',23238
4,66386,'NE','Bonehead','Street',345327292,'Lidzbark warmiński','Alaska',63863
5,31993,'NE','Subprefecture','Street',805899389,'Lidzbark warmiński','Alaska',30928
6,81198,'NW','Hopis','Street',630427306,'Brentwood','Alaska',46183
7,94876,'S','Marathonian','Street',648834262,'Lidzbark warmiński','Alaska',97614
8,38419,'SE','Blunder','Street',534723970,'Brentwood','Alaska',33294
9,37401,'SE','Nightstand','Court',732785689,'Lidzbark warmiński','Alaska',85231
10,30722,'E','Booby','Avenue',586759027,'Lidzbark warmiński','Alaska',83353
11,14849,'SE','Nightstand','Place',750668055,'Brentwood','Alaska',21370
12,81518,'SE','Bonehead','Beach',708666506,'Brentwood','Alaska',10164
13,11448,'NW','Blunder','Lane',179856937,'Lidzbark warmiński','Alaska',44927
14,86095,'SE','Schuyt','Street',749587045,'Brentwood','Alaska',93572
15,38736,'E','Schuyt','Commons',362365743,'Brentwood','Alaska',45265
16,36615,'SE','Hopis','Vista',956917126,'Lidzbark warmiński','Alaska',59845
17,79366,'SW','Schuyt','Court',166185629,'Brentwood','Alaska',56036
18,84902,'SE','Blunder','Lane',249137672,'Lidzbark warmiński','Alaska',80981
19,76119,'NW','Monomials','Place',120319028,'Lidzbark warmiński','Alaska',84840
20,76418,'SE','Hopis','Court',416751860,'Lidzbark warmiński','Alaska',81167
21,15626,'NE','Hopis','Avenue',134828461,'Lidzbark warmiński','Alaska',25598
22,12270,'N','Monomials','Street',247431073,'Brentwood','Alaska',73231
23,79840,'S','Blunder','Beach',76564271,'Lidzbark warmiński','Alaska',82872
24,70407,'S','Subprefecture','Vista',373041898,'Lidzbark warmiński','Alaska',93881
25,20889,'N','Cation','Vista',7280816,'Lidzbark warmiński','Alaska',25708
26,26384,'SW','Subprefecture','Gardens',901187353,'Lidzbark warmiński','Alaska',51880
27,80307,'E','Cation','Place',680702010,'Brentwood','Alaska',33563
28,63816,'N','Cation','Street',359380763,'Lidzbark warmiński','Alaska',50568
29,66237,'N','Booby','Court',375068035,'Brentwood','Alaska',78942
30,64990,'NW','Cation','Road',700833687,'Lidzbark warmiński','Alaska',89125
31,29760,'N','Schuyt','Road',150363276,'Lidzbark warmiński','Alaska',92023
32,31137,'S','Subprefecture','Road',363970860,'Lidzbark warmiński','Alaska',42050
33,5751,'W','Schuyt','Place',514782526,'Brentwood','Alaska',17284
34,4532,'NE','Blunder','Vista',601596682,'Lidzbark warmiński','Alaska',40310
35,46944,'W','Blunder','Beach',412125393,'Lidzbark warmiński','Alaska',96787
36,8855,'E','Hopis','Vista',434019351,'Lidzbark warmiński','Alaska',13152
37,37538,'E','Nightstand','Road',78006768,'Brentwood','Alaska',21991
38,19965,'E','Nightstand','Vista',6946384,'Brentwood','Alaska',62849
39,88707,'N','Nightstand','Ridge',575532870,'Brentwood','Alaska',59518
40,8691,'SE','Nightstand','Beach',394698794,'Brentwood','Alaska',20272
41,57316,'E','Monomials','Street',1239255,'Brentwood','Alaska',49300
42,21009,'W','Subprefecture','Commons',925581588,'Lidzbark warmiński','Alaska',50668
43,96788,'W','Marathonian','Street',51291678,'Lidzbark warmiński','Alaska',81752
44,62160,'SE','Hopis','Lane',378507528,'Lidzbark warmiński','Alaska',72098
45,75175,'S','Blunder','Court',824707173,'Brentwood','Alaska',50324
46,30706,'S','Subprefecture','Vista',657805609,'Brentwood','Alaska',67561
47,70343,'S','Bonehead','Estate',811134722,'Brentwood','Alaska',10329
48,84305,'S','Blunder','Ridge',79515793,'Lidzbark warmiński','Alaska',30987
49,5769,'SE','Cation','Ridge',407653506,'Lidzbark warmiński','Alaska',40651
50,57713,'W','Schuyt','Avenue',257487075,'Lidzbark warmiński','Alaska',51388
51,57409,'NW','Booby','Lane',584950801,'Brentwood','Alaska',65096
52,49349,'N','Monomials','Avenue',327882756,'Brentwood','Alaska',64333
53,30528,'E','Hopis','Vista',207810289,'Lidzbark warmiński','Alaska',66185
54,13775,'SW','Subprefecture','Lane',520059954,'Lidzbark warmiński','Alaska',71125
55,75151,'NE','Monomials','Road',528488828,'Lidzbark warmiński','Alaska',38846
56,50386,'E','Booby','Court',300914595,'Brentwood','Alaska',69344
57,65949,'N','Bonehead','Place',803698101,'Brentwood','Alaska',69398
58,87010,'SE','Blunder','Ridge',815760337,'Lidzbark warmiński','Alaska',36283
59,19754,'NE','Hopis','Court',91878653,'Lidzbark warmiński','Alaska',27981
60,36864,'E','Blunder','Commons',959702279,'Lidzbark warmiński','Alaska',46135
61,58711,'NW','Blunder','Place',897303960,'Lidzbark warmiński','Alaska',18563
62,40734,'SW','Cation','Avenue',173789970,'Brentwood','Alaska',78275
63,13391,'NW','Booby','Avenue',322113134,'Lidzbark warmiński','Alaska',99617
64,48169,'E','Booby','Gardens',437189926,'Lidzbark warmiński','Alaska',34201
65,41413,'N','Nightstand','Road',44845223,'Brentwood','Alaska',97968
66,10394,'S','Nightstand','Beach',123693081,'Lidzbark warmiński','Alaska',89605
67,23064,'S','Subprefecture','Avenue',391576684,'Brentwood','Alaska',52721
68,59596,'E','Hopis','Vista',742967817,'Lidzbark warmiński','Alaska',83885
69,84327,'SW','Cation','Beach',441671605,'Brentwood','Alaska',36416
70,75879,'N','Booby','Place',726854633,'Lidzbark warmiński','Alaska',89755
71,81570,'W','Booby','Court',742381204,'Lidzbark warmiński','Alaska',81970
72,82986,'SW','Schuyt','Court',915863843,'Brentwood','Alaska',10870
73,59195,'E','Blunder','Road',863527385,'Brentwood','Alaska',39585
74,51300,'SW','Schuyt','Vista',599578544,'Brentwood','Alaska',90739
75,86052,'NW','Marathonian','Lane',813269460,'Brentwood','Alaska',37544
76,316,'E','Booby','Road',595336834,'Lidzbark warmiński','Alaska',82361
77,4294,'S','Cation','Avenue',843009240,'Lidzbark warmiński','Alaska',10883
78,55829,'E','Booby','Commons',606111419,'Brentwood','Alaska',64805
79,76865,'SE','Monomials','Beach',597276161,'Brentwood','Alaska',45730
80,71957,'SW','Bonehead','Avenue',261765000,'Brentwood','Alaska',92444
81,2969,'SE','Bonehead','Street',644756434,'Brentwood','Alaska',89209
82,76611,'S','Monomials','Lane',551937346,'Lidzbark warmiński','Alaska',38276
83,4740,'NW','Booby','Ridge',297745741,'Brentwood','Alaska',62150
84,41246,'SE','Bonehead','Lane',854961459,'Brentwood','Alaska',75527
85,40240,'N','Booby','Beach',859813465,'Lidzbark warmiński','Alaska',86425
86,73367,'N','Blunder','Court',920063769,'Lidzbark warmiński','Alaska',49207
87,36510,'S','Schuyt','Commons',26398012,'Brentwood','Alaska',60565
88,5657,'NE','Hopis','Ridge',442799236,'Lidzbark warmiński','Alaska',23022
89,80915,'NE','Nightstand','Ridge',720553862,'Lidzbark warmiński','Alaska',42467
90,64106,'N','Booby','Ridge',887109099,'Brentwood','Alaska',50824
91,42952,'E','Nightstand','Beach',890523926,'Brentwood','Alaska',50529
92,15324,'SE','Marathonian','Road',234708887,'Lidzbark warmiński','Alaska',80774
93,54354,'NW','Nightstand','Estate',193801915,'Brentwood','Alaska',79040
94,69029,'SE','Bonehead','Road',591011330,'Lidzbark warmiński','Alaska',92426
95,71059,'NW','Subprefecture','Place',613709803,'Lidzbark warmiński','Alaska',11944
96,69382,'E','Blunder','Vista',843286442,'Lidzbark warmiński','Alaska',59561
97,56659,'SW','Marathonian','Ridge',757801609,'Lidzbark warmiński','Alaska',81067
98,69989,'S','Blunder','Street',841671416,'Lidzbark warmiński','Alaska',21916
99,67035,'NW','Monomials','Vista',202163883,'Lidzbark warmiński','Alaska',47588
100,81957,'E','Subprefecture','Road',674608732,'Lidzbark warmiński','Alaska',35838
