id,title,income,company,education
1,'Claims assessor',543692,'Adelice\'s Coordinated Progress Chasers','JD'
2,'Textile engineer',457186,'Daveta\'s Outrageous Professional Racings','Trade'
3,'Professional racing',143725,'Kaitlin\'s Bowed Laundry Workers','BS'
4,'Bursar',948365,'Glad\'s Personal Flower Arrangers','MS'
5,'Property manager',145301,'Jolene\'s Sticky Accounts Staffs','Highschool'
6,'Amusement arcade worker',870330,'Stephanie\'s Squiggly Hot Foil Printers','Highschool'
7,'Jazz composer',286674,'Casandra\'s Vacant Museum Assistants','Trade'
8,'Tv editor',223421,'Laurie\'s Brilliant Medical Researchers','BS'
9,'Medical assistant',939040,'Liv\'s Popular Counsellors','Trade'
10,'Warehouse manager',800190,'Bethany\'s Distorted Merchant Seamans','Trade'
11,'Hospital technician',445376,'Ronalda\'s Upright Advertising Managers','Highschool'
12,'Transport engineer',366086,'Dalia\'s Modern Delivery Drivers','BS'
13,'Building engineer',689119,'Misha\'s Triangular Bacon Curers','MS'
14,'Gas fitter',135937,'Tamera\'s Rusty Travel Consultants','MS'
15,'Art restorer',66457,'Codi\'s Inborn Trainee Managers','Highschool'
16,'Breeder',17356,'Danit\'s Uneven Health Services','BS'
17,'Fuel merchant',894925,'Juana\'s Bumpy Millers','MD'
18,'Stockbroker',517247,'Corabel\'s Vicious Nurserymans','Highschool'
19,'Royal marine',825242,'Catriona\'s Windy Rug Makers','MS'
20,'Housing assistant',192631,'Willetta\'s Wild Milkmans','PHD'
21,'Medical physicist',904031,'Fina\'s Pink Optical Advisors','JD'
22,'Supply teacher',889072,'Deena\'s Little Gardas','MD'
23,'Yard manager',965074,'Edna\'s Ecstatic Psychoanalysts','Highschool'
24,'Tree surgeon',760413,'Katharina\'s Blank Homeworkers','PHD'
25,'Reporter',711116,'Wilhelmine\'s Fearless Caulkers','JD'
26,'Hygienist',993161,'Marta\'s Uncommon Bakery Assistants','Highschool'
27,'Shooting instructor',942660,'Edy\'s Quirky Lavatory Attendants','BS'
28,'Property dealer',520523,'Jacquelynn\'s Self-assured Machine Operators','JD'
29,'Marble mason',965504,'Hadria\'s Good Quality Managers','MS'
30,'Car salesman',727355,'Irene\'s Burdensome Track Workers','PHD'
31,'Funeral director',493565,'Loree\'s Useless Upholsterers','PHD'
32,'Medical secretary',586608,'Brigit\'s Loyal Landworkers','MS'
33,'Moneylender',335556,'Aubrey\'s Finished Gas Technicians','BS'
34,'Scrap dealer',318118,'Aidan\'s Tight TV Editors','Highschool'
35,'Forwarding agent',999782,'Crystie\'s Crowded Repair Mans','BS'
36,'Warden',744879,'Pearle\'s Delightful Manicurists','PHD'
37,'Retired',115582,'Jany\'s Parallel Patrolmans','Trade'
38,'Lumberjack',300573,'Terrijo\'s Dual Ambulance Drivers','PHD'
39,'Stone cutter',328231,'Mari\'s Actual Letting Agents','Trade'
40,'Rug maker',535836,'Leonora\'s Used Opticals','MD'
41,'Project manager',336226,'Kaia\'s Inferior Motor Dealers','BS'
42,'Brewer',725374,'Joella\'s Warped Bakery Managers','MD'
43,'Carpet fitter',31253,'Daile\'s Unusual Hostesss','Trade'
44,'Shelf filler',724893,'Tandi\'s Revolving Church Wardens','JD'
45,'Cinema manager',136060,'Kathye\'s Dimpled Therapists','MS'
46,'Insurance broker',226938,'Darya\'s Internal Janitors','MS'
47,'Prison officer',474228,'Alida\'s Major Property Buyers','Trade'
48,'Clairvoyant',557171,'Halimeda\'s Blind Television Engineers','PHD'
49,'Horse trainer',402789,'Benni\'s Shameless Window Dressers','BS'
50,'Upholsterer',194902,'Nicola\'s Unwieldy Professional Wrestlers','JD'
51,'Paint consultant',117016,'Cissiee\'s Supportive Illustrators','JD'
52,'Project engineer',16532,'Karil\'s Every Leaflet Distributors','MS'
53,'Motor dealer',576243,'Jada\'s Clear-cut Translators','MD'
54,'Advertising manager',728769,'Hilary\'s Swift Wholesale Newspapers','MS'
55,'Technical co-ordinator',164545,'Melisse\'s Fat Steel Erectors','JD'
