number,direction,streetName,suffix,unit,city,state,postalCode,house
87957,NW,avifaunas,Commons,979010041,Ambikāpur,Minnesota,22228,
54249,NE,blackamoor,Estate,594283373,Katghora,Minnesota,63243,
2596,NW,uniting,Gardens,517120357,Ambikāpur,Minnesota,69065,
80833,NE,parry,Estate,475262903,Katghora,Minnesota,91685,
32488,NW,scarfskin,Court,301884518,Ambikāpur,Minnesota,81705,
2061,NW,operative,Avenue,247645903,Katghora,Minnesota,16268,
91546,N,redactions,Estate,3305110,Katghora,Minnesota,80270,
99454,SE,capitalist,Street,741821144,Katghora,Minnesota,82929,
59296,W,envois,Ridge,707379084,Ambikāpur,Minnesota,59750,
99926,S,indignities,Commons,431062234,Katghora,Minnesota,48223,
38865,N,indignities,Commons,11970443,Katghora,Minnesota,70241,
18082,NE,blackamoor,Estate,713940513,Ambikāpur,Minnesota,31245,
35556,E,operative,Road,35132887,Ambikāpur,Minnesota,83100,
24757,S,uniting,Court,102166253,Ambikāpur,Minnesota,82703,
12023,W,scarfskin,Place,722345765,Katghora,Minnesota,52123,
64174,SW,uniting,Road,291485922,Ambikāpur,Minnesota,78130,
88945,SE,parry,Beach,362735728,Ambikāpur,Minnesota,53817,
40372,SE,blackamoor,Avenue,745850388,Ambikāpur,Minnesota,10908,
68353,N,redactions,Place,782636083,Katghora,Minnesota,53722,
20250,SW,operative,Beach,177079988,Ambikāpur,Minnesota,33555,
88294,W,scarfskin,Avenue,485711382,Ambikāpur,Minnesota,28601,
99119,SE,redactions,Place,293942620,Ambikāpur,Minnesota,74641,
54956,N,avifaunas,Vista,734414782,Katghora,Minnesota,77292,
47703,S,scarfskin,Place,674933898,Ambikāpur,Minnesota,50602,
49348,NE,redactions,Avenue,854874180,Ambikāpur,Minnesota,22881,
71134,N,blackamoor,Road,984007585,Ambikāpur,Minnesota,10665,
2394,W,indignities,Estate,244828274,Katghora,Minnesota,59518,
46516,S,indignities,Road,18685721,Ambikāpur,Minnesota,73966,
36642,W,parry,Avenue,768494970,Katghora,Minnesota,54014,
93908,N,indignities,Court,845797060,Ambikāpur,Minnesota,97274,
49067,SW,uniting,Avenue,810237330,Ambikāpur,Minnesota,67934,
48282,SW,avifaunas,Street,140307991,Ambikāpur,Minnesota,80111,
59276,W,avifaunas,Gardens,972008353,Katghora,Minnesota,38073,
73112,SE,operative,Avenue,617005691,Ambikāpur,Minnesota,12580,
30825,W,capitalist,Street,539143463,Katghora,Minnesota,45717,
33978,SW,parry,Court,13942516,Katghora,Minnesota,51857,
56348,SW,envois,Road,494956049,Katghora,Minnesota,81350,
33377,NE,uniting,Road,878369068,Ambikāpur,Minnesota,57706,
4513,NE,blackamoor,Ridge,613472869,Katghora,Minnesota,49122,
53267,SE,redactions,Lane,591209558,Katghora,Minnesota,95863,
63123,NW,envois,Estate,67505705,Ambikāpur,Minnesota,26583,
32706,N,redactions,Beach,311322605,Ambikāpur,Minnesota,84287,
32138,E,parry,Court,86845990,Katghora,Minnesota,91167,
88897,S,indignities,Estate,791905263,Katghora,Minnesota,46716,
43147,N,envois,Vista,173105657,Ambikāpur,Minnesota,50549,
67945,SW,operative,Beach,204680799,Katghora,Minnesota,39786,
54576,E,indignities,Ridge,47366347,Katghora,Minnesota,13921,
39215,N,parry,Vista,376188681,Ambikāpur,Minnesota,78168,
9816,W,parry,Ridge,623529302,Katghora,Minnesota,53270,
5320,E,avifaunas,Avenue,256179412,Ambikāpur,Minnesota,68779,
17576,N,avifaunas,Road,265639334,Katghora,Minnesota,48999,
35961,NE,envois,Lane,192465027,Ambikāpur,Minnesota,73541,
39050,S,scarfskin,Gardens,503095282,Katghora,Minnesota,88890,
20130,E,avifaunas,Commons,93555835,Ambikāpur,Minnesota,32267,
39504,NW,blackamoor,Gardens,251705146,Ambikāpur,Minnesota,69748,
67248,SE,indignities,Avenue,432718118,Ambikāpur,Minnesota,22793,
26306,SW,scarfskin,Vista,320400480,Ambikāpur,Minnesota,55692,
41390,W,indignities,Lane,132774929,Katghora,Minnesota,35915,
36291,S,envois,Ridge,200060774,Katghora,Minnesota,81731,
3751,E,envois,Lane,924901964,Ambikāpur,Minnesota,87457,
39514,NE,scarfskin,Vista,152644409,Ambikāpur,Minnesota,68072,
68494,E,uniting,Avenue,961159976,Katghora,Minnesota,22187,
88200,N,avifaunas,Vista,479681873,Katghora,Minnesota,16866,
67349,NE,capitalist,Commons,65299426,Ambikāpur,Minnesota,45491,
