style,constructed,purchased,bedrooms,bathrooms,sqft,levels,value,address
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1859,1904,6,3,2498,1,9617491,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1959,1999,7,4,5879,2,8124345,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1881,1951,4,8,696,1,8098225,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1998,1884,3,4,5449,3,908056,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1876,1964,6,8,9051,2,1878195,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1850,1928,5,7,7119,1,8397000,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1968,1848,0,6,2323,1,6926636,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1882,1926,6,2,9831,1,7716743,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1880,1849,3,4,2461,3,1684746,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,2003,1845,2,8,4270,3,459322,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1970,1802,1,3,1741,2,2160545,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1872,1877,3,7,8704,3,30572,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1974,1981,3,6,7129,2,9586466,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1932,1962,7,5,9725,1,6853594,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1963,1999,3,4,9311,2,4270734,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1805,1812,1,7,1891,2,8929915,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1994,1979,7,2,3456,1,6674928,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1891,1849,4,4,1389,2,9742672,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1905,1949,0,5,4199,3,1584171,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1929,2007,4,8,1449,2,4358769,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1941,2017,0,9,6378,2,364571,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1805,1887,1,6,7111,2,1840967,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,2003,1985,3,9,828,2,8881080,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1968,1843,2,3,2662,2,3835581,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1855,1942,1,8,3169,1,6452337,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1921,1999,6,4,4724,1,5462315,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1853,1829,6,5,3617,2,103566,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1994,1992,1,6,4109,2,1449153,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1872,1826,3,2,5234,1,7203689,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,2007,1999,7,7,9185,2,2423695,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1870,1857,5,7,548,3,6411491,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1899,1918,3,5,1800,1,4097056,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1974,2007,2,9,9304,3,3842523,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1997,1930,6,4,236,2,3278093,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1982,1912,6,3,691,2,2593543,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1904,1817,1,5,1115,2,3187838,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,2013,1827,5,6,3367,1,9387854,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1964,1848,0,7,6531,2,3070246,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1966,1891,4,2,8399,1,793906,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,2014,1953,1,9,7262,2,2437185,
