title,income,company,education
Software Engineer,841066,"Patty
's damaged
 Security Guard
s",Trade Highschool BS MS PHD MD JD
Optical Advisor,903322,"Roxi
's shabby
 Traffic Warden
s",Trade Highschool BS MS PHD MD JD
Planning Technician,429347,"Briana
's lumpy
 Golfer
s",Trade Highschool BS MS PHD MD JD
Instrument Supervisor,924653,"Marthe
's disguised
 Training Instructor
s",Trade Highschool BS MS PHD MD JD
Hop Merchant,586230,"Bili
's extraneous
 Cleric
s",Trade Highschool BS MS PHD MD JD
Sales Support,28914,"Charmaine
's tragic
 Governor
s",Trade Highschool BS MS PHD MD JD
Telex Operator,937586,"Charlotta
's normal
 Book-Keeper
s",Trade Highschool BS MS PHD MD JD
Bingo Caller,165686,"Tiffi
's hungry
 Botanist
s",Trade Highschool BS MS PHD MD JD
Records Supervisor,322151,"Ursula
's harsh
 Machine Fitters
s",Trade Highschool BS MS PHD MD JD
Textile Consultant,904559,"Nada
's stingy
 Legal Secretary
s",Trade Highschool BS MS PHD MD JD
