id,number,direction,streetName,suffix,unit,city,state,postalCode,house
1,63121,N,Beach-la-mar,Gardens,274748594,Al quşayr,New hampshire,49688,
2,24498,E,Bungee,Place,524741956,Qiryat yam,New hampshire,53163,
3,58180,NW,Entertainer,Commons,727441490,Qiryat yam,New hampshire,91871,
4,51862,NE,Accountabilities,Court,58657724,Al quşayr,New hampshire,26746,
5,57766,NE,Dimorph,Lane,987612001,Al quşayr,New hampshire,41100,
6,60534,E,Weighing,Commons,256735824,Qiryat yam,New hampshire,47987,
7,4944,NW,Sloganeer,Beach,138598283,Qiryat yam,New hampshire,82699,
8,17084,SE,Demagnetisers,Place,220819602,Al quşayr,New hampshire,18833,
9,6342,N,Bexley,Place,781570055,Al quşayr,New hampshire,96964,
10,87364,W,Forzando,Gardens,865871524,Al quşayr,New hampshire,47617,
11,94084,S,Accountabilities,Avenue,621868662,Qiryat yam,New hampshire,28803,
12,33382,NW,Sloganeer,Avenue,542098400,Al quşayr,New hampshire,28984,
13,60823,NE,Entertainer,Street,940293547,Al quşayr,New hampshire,99610,
14,51290,SW,Forzando,Vista,984067405,Al quşayr,New hampshire,62206,
15,86354,SW,Entertainer,Avenue,88177835,Al quşayr,New hampshire,58783,
16,22678,N,Demagnetisers,Street,7618369,Qiryat yam,New hampshire,26884,
17,81091,N,Demagnetisers,Lane,930028178,Qiryat yam,New hampshire,99718,
18,11412,SE,Bungee,Ridge,573215783,Qiryat yam,New hampshire,45916,
19,98957,W,Dimorph,Place,646948809,Qiryat yam,New hampshire,37571,
20,89424,SW,Forzando,Place,703501660,Al quşayr,New hampshire,71472,
21,29293,N,Forzando,Commons,196143677,Al quşayr,New hampshire,16481,
22,32514,W,Dimorph,Gardens,476892630,Al quşayr,New hampshire,28953,
23,96685,W,Forzando,Estate,497911966,Qiryat yam,New hampshire,33917,
24,55503,N,Dimorph,Place,851217366,Qiryat yam,New hampshire,18359,
25,59876,S,Bexley,Commons,26181955,Qiryat yam,New hampshire,62010,
26,45109,N,Demagnetisers,Vista,716540806,Qiryat yam,New hampshire,88368,
27,44733,NW,Bexley,Court,70375194,Qiryat yam,New hampshire,95580,
28,73225,S,Beach-la-mar,Place,594127826,Al quşayr,New hampshire,43268,
29,13007,E,Beach-la-mar,Lane,683130228,Al quşayr,New hampshire,95565,
30,16350,W,Bungee,Gardens,443776760,Al quşayr,New hampshire,75943,
31,11329,N,Dimorph,Street,113786685,Al quşayr,New hampshire,15098,
32,12093,S,Bexley,Avenue,934629947,Al quşayr,New hampshire,64927,
33,77142,W,Demagnetisers,Gardens,272403852,Al quşayr,New hampshire,28551,
34,25782,SW,Accountabilities,Avenue,9047676,Al quşayr,New hampshire,71213,
35,45077,NW,Weighing,Commons,961676532,Al quşayr,New hampshire,35433,
36,63187,NW,Sloganeer,Court,343593644,Qiryat yam,New hampshire,49945,
37,48778,SW,Accountabilities,Street,544779818,Al quşayr,New hampshire,81587,
38,45536,SW,Sloganeer,Avenue,252756096,Qiryat yam,New hampshire,56707,
39,19737,SW,Sloganeer,Lane,338753375,Al quşayr,New hampshire,55125,
40,55804,W,Forzando,Street,426965398,Al quşayr,New hampshire,19454,
41,34139,NW,Sloganeer,Commons,764513755,Al quşayr,New hampshire,41300,
42,74176,E,Weighing,Estate,984830928,Qiryat yam,New hampshire,95121,
43,23921,NE,Dimorph,Beach,102729950,Qiryat yam,New hampshire,61384,
44,51957,E,Bungee,Lane,953718569,Al quşayr,New hampshire,39734,
45,84690,S,Forzando,Ridge,531143500,Qiryat yam,New hampshire,45551,
46,63209,NE,Accountabilities,Place,618185613,Qiryat yam,New hampshire,68383,
47,22557,E,Bungee,Place,142050106,Qiryat yam,New hampshire,11356,
48,48718,S,Bexley,Vista,212342224,Al quşayr,New hampshire,14154,
49,48525,S,Forzando,Avenue,196016913,Al quşayr,New hampshire,85296,
50,5269,E,Entertainer,Commons,183677044,Al quşayr,New hampshire,87110,
51,92992,S,Beach-la-mar,Beach,147692817,Qiryat yam,New hampshire,38448,
