id,style,constructed,purchased,bedrooms,bathrooms,sqft,levels,value,address
1,Art-Deco,1870,1887,6,3,7412,2,58106,78
2,Victorian,1926,1977,3,7,1191,1,5984112,38
3,Art-Deco,1828,1858,7,7,7791,3,7590059,56
4,Postmodern,1910,1807,5,9,3596,1,331876,99
5,Art-Deco,1857,1929,3,2,334,1,1525167,36
6,Gothic,1968,1908,4,6,794,3,5740588,39
7,Art-Deco,1872,1934,4,3,410,1,8352670,70
8,Beat-up,1991,1803,6,4,9997,3,9799451,86
9,Modern,1863,1801,5,8,4043,1,3709597,72
10,Art-Deco,2017,1903,5,3,1889,3,8047646,44
11,Victorian,1931,1922,0,9,2733,2,1547276,58
12,Neoclassical,1888,1959,7,4,9446,2,3472996,31
13,Beat-up,1836,1864,4,2,1687,1,2924511,13
14,Colonial,1841,1830,2,2,9479,1,1419083,22
15,Art-Deco,1894,1824,4,6,5465,3,1748544,3
16,Beat-up,1904,1845,0,8,5313,2,2801525,25
17,Art-Deco,1910,1976,7,7,8972,3,1917226,82
18,Art-Deco,1998,1807,2,7,4542,1,8970793,64
19,Colonial,2011,1970,7,9,6445,2,9943015,84
20,Gothic,1831,1909,5,6,1341,3,4152454,69
21,Modern,1832,1801,3,7,5504,3,2619751,51
22,Brutalist,1880,1921,1,6,6454,1,2350169,14
23,Postmodern,1836,1873,4,4,715,1,3892525,76
24,Postmodern,1859,1972,0,6,4956,3,5534541,89
25,Victorian,1819,1828,5,8,9011,3,2474943,29
26,Postmodern,1824,1814,6,9,1578,2,9189520,71
27,Postmodern,1844,1993,5,6,3386,1,3087191,33
28,Beat-up,1965,1977,2,8,1769,1,6664462,97
29,Beat-up,1805,1911,4,6,7761,2,6587423,5
30,Modern,1875,1981,7,7,2903,3,5593833,43
31,Brutalist,1971,1912,2,2,7358,1,2714375,59
32,Victorian,1890,1900,7,4,3759,1,8078163,49
33,Gothic,1833,2002,2,8,4269,2,4199990,85
34,Postmodern,1818,1976,5,5,9653,3,9647595,23
35,Neoclassical,1904,1814,7,2,978,2,8163404,41
36,Brutalist,1896,1905,1,8,5227,3,4422985,77
37,Brutalist,1964,1817,6,2,356,2,7699205,55
38,Beat-up,1907,2008,0,9,8310,3,1038392,20
39,Postmodern,1875,1882,5,9,3989,1,3550910,88
40,Beat-up,1971,1821,2,9,5507,1,6980807,68
41,Beat-up,1803,1925,3,3,4746,2,7075851,87
42,Beat-up,1811,1801,6,9,405,3,9581511,40
43,Brutalist,1920,1859,5,3,2335,3,2844651,62
44,Beat-up,1934,1846,5,4,8413,3,7447967,17
45,Colonial,1852,1884,6,6,7349,3,593566,93
46,Brutalist,1989,1849,1,4,204,1,8723960,26
47,Beat-up,1911,2015,6,9,5572,3,5934573,74
48,Postmodern,1987,1878,7,2,6119,1,343748,9
49,Brutalist,1922,1800,7,4,388,1,6112094,47
50,Gothic,1875,1899,3,4,4783,1,6094725,19
51,Art-Deco,1921,1865,2,6,7607,3,9829810,83
52,Modern,1931,1879,6,8,6298,1,3935536,32
53,Gothic,1842,1945,0,7,7445,3,1307790,65
54,Postmodern,1880,1965,4,2,9088,3,4777355,98
55,Art-Deco,1933,1863,6,5,9700,1,2747534,18
56,Beat-up,1875,1873,3,9,3178,2,6621448,67
57,Brutalist,1956,1923,2,2,7620,3,5372720,45
58,Beat-up,1938,1999,5,4,8506,1,9357656,6
59,Victorian,2005,1918,4,9,4229,2,1304018,90
60,Brutalist,1819,1875,6,7,5355,3,5204157,28
61,Art-Deco,1911,1912,3,9,5075,3,6199445,24
62,Brutalist,1848,1836,1,5,5906,2,728144,4
63,Gothic,1812,1984,3,6,4934,1,2831212,92
64,Beat-up,1964,1848,1,8,6852,1,6121118,57
65,Gothic,1970,2006,3,8,4164,3,8873510,8
66,Brutalist,1941,1941,6,6,8261,2,7570824,79
67,Modern,1892,1961,2,9,7359,1,168484,80
68,Modern,1883,1971,6,7,6705,3,9698216,2
69,Gothic,1861,1911,4,6,8670,2,1416316,66
70,Colonial,1805,1984,4,2,1324,3,9154157,10
71,Neoclassical,1846,1870,5,4,6046,1,9868535,34
72,Victorian,1837,1891,4,7,1109,1,7341360,75
73,Modern,1877,2015,4,3,9669,3,7778203,61
74,Gothic,1920,1973,1,3,9171,2,2925311,96
75,Colonial,1918,1881,6,8,9439,2,522197,50
76,Victorian,1957,1885,4,7,3156,1,883626,27
77,Neoclassical,1827,1962,1,2,2706,3,7677344,48
78,Victorian,1913,1854,1,6,3768,3,3932871,15
79,Postmodern,1835,1815,4,2,4920,1,4156024,53
80,Modern,2018,1980,7,2,5335,3,7607479,35
81,Art-Deco,2015,1994,2,7,2475,3,2424119,91
82,Beat-up,1982,1875,6,6,9253,2,823135,73
83,Neoclassical,1860,1983,7,3,3828,2,6222977,7
84,Victorian,2018,1913,2,6,4905,3,5167280,100
85,Brutalist,1939,1834,5,9,6626,3,3350807,81
86,Postmodern,1938,1983,2,9,9946,3,376009,95
87,Beat-up,1866,1895,7,6,4780,1,7244156,30
88,Postmodern,1840,1949,2,8,1858,1,7470934,42
89,Gothic,1981,1810,0,2,5894,2,5222577,46
90,Gothic,1820,1824,5,5,8724,2,2130377,37
91,Colonial,1875,1886,6,3,2977,2,9589558,11
92,Brutalist,1894,1870,3,9,9402,2,9202628,94
93,Modern,1837,1954,3,6,8619,2,5013293,21
94,Neoclassical,1865,1888,3,6,9766,1,9430088,1
95,Neoclassical,1827,1860,5,6,2907,1,6314807,16
96,Neoclassical,1958,1884,7,8,3602,1,4041131,63
97,Brutalist,1899,1850,2,5,215,1,9893933,52
98,Colonial,1880,1931,0,3,8977,3,5151901,60
99,Beat-up,1943,1938,0,9,302,2,2560034,12
100,Art-Deco,1934,1984,2,7,9287,1,9661356,54
