id,title,income,company,education
1,Wood carver,213516,Jeanna's Frugal Payroll Supervisors,PHD
2,Chiropractor,74473,Ashia's Dry Saleswomans,JD
3,Servant,80337,Esther's Incompatible Golf Club Professionals,PHD
4,Systems analyst,363269,Dyna's Irritating Welders,MD
5,Repairer,958652,Joeann's Quintessential Studio Managers,Trade
6,Magician,151794,Lyndell's Sick Timber Workers,MD
7,Sales director,136216,Lillis's Flippant Cafe Workers,Highschool
8,Thermal engineer,924286,Ronnie's Metallic School Inspectors,Trade
9,Transport planner,920959,Ann's Gleeful Health Services,PHD
10,Press officer,198388,Lane's Studious Travel Clerks,JD
11,Restorer,868203,Noellyn's Delayed Machine Minders,MD
12,Tractor mechanic,966842,Glynnis's Soft Pattern Cutters,Highschool
13,Production engineer,642878,Georgette's Roasted Outreach Workers,JD
14,Tachograph analyst,897045,Cammy's Mean Casual Workers,JD
15,Planning officer,654749,Leslie's Second-hand Buyers,PHD
16,Haulage contractor,171419,Jaquenette's Closed Metal Engineers,MD
17,Negotiator,464919,Eleanor's Fearful Consultants,BS
18,Stocktaker,55338,Elke's Rusty Homeopaths,MD
19,Newsagent,7947,Lyssa's Fair Machine Operators,PHD
20,Hawker,662599,Randi's Zany IT Managers,MS
21,Taxi driver,445641,Frieda's Conventional Medal Dealers,BS
22,Flour miller,34211,Wilhelmine's Good-natured Sales Engineers,JD
23,Thermal engineer,785488,Deanne's Profitable Bank Clerks,MS
24,Kitchen worker,52060,Lisabeth's Deficient Medical Technicians,BS
25,Product installer,656237,Caro's Novel Hod Carriers,MS
26,Hospital technician,129892,Carla's Squeaky Repairers,MD
27,Turkey farmer,818110,Bryana's Grizzled HGV Mechanics,PHD
28,Sports administrator,221479,Nanete's Treasured Car Delivery Drivers,Trade
29,Payroll clerk,70953,Adella's Blaring Coroners,Trade
30,Production engineer,45129,Billy's Imperfect Nannys,BS
31,Cameraman,71458,Hildagarde's Single Publicans,MD
32,Pig manager,970706,Tansy's Enchanted China Restorers,MS
33,Youth worker,888898,Averil's Grandiose Marine Pilots,Highschool
34,Motor engineer,916427,Kathleen's Important Historians,Highschool
35,Furrier,999455,Brandea's Untrue Tug Skippers,Highschool
36,Theatre manager,74084,Dniren's Simplistic Horse Dealers,Trade
37,Theatrical agent,266060,Wendeline's Instructive Keep Fit Instructors,JD
38,Park ranger,410569,Erminia's Upbeat Picture Reseachers,MD
39,Antique dealer,630457,Annabela's Forthright Software Engineers,MD
40,Investment advisor,795543,Fancie's Beneficial Payroll Clerks,MS
41,Video artist,776396,Aeriela's Ultimate Production Hands,BS
42,Trout farmer,45857,Deva's Political Grave Diggers,JD
43,Carpenter,525610,Eilis's Plaintive Cable Contractors,JD
44,Quality controller,864275,Ashil's Content Bill Posters,Trade
