pida,pidb
24,92
255,261
252,137
43,3
65,50
275,249
43,174
165,119
46,127
12,59
63,137
86,22
70,257
250,246
89,249
55,78
63,290
159,281
292,225
134,293
165,286
68,92
1,54
145,275
175,256
258,288
294,177
197,105
221,115
130,139
291,242
252,237
298,233
261,159
130,223
231,251
166,32
213,168
186,297
54,18
46,175
100,24
124,13
268,93
234,37
231,175
87,207
40,284
58,170
122,70
35,273
27,279
122,155
18,211
46,85
100,277
250,71
268,247
93,207
1,163
1,58
122,258
258,227
18,124
124,123
294,133
68,171
152,41
134,6
200,108
16,163
133,19
58,159
35,8
214,201
146,297
74,218
291,198
35,231
145,16
186,142
292,228
213,29
227,191
16,281
36,225
87,231
278,249
89,287
231,187
146,211
1,120
43,49
298,103
266,76
124,181
23,89
122,224
18,110
54,51
275,121
54,257
123,67
152,265
35,143
298,296
221,200
179,39
214,80
261,122
124,59
2,258
292,97
55,228
23,243
124,17
68,69
110,100
197,44
43,93
35,295
100,96
43,295
197,225
41,51
55,199
121,176
24,231
152,240
214,174
1,298
27,55
268,207
121,267
122,256
252,41
54,275
124,117
45,233
100,298
1,238
197,244
298,122
222,4
86,289
231,98
134,169
2,28
12,108
146,164
93,224
179,249
93,119
67,272
30,164
149,83
152,169
93,180
223,90
200,123
63,181
291,260
89,297
8,111
145,15
133,36
105,34
2,23
2,291
54,148
35,288
279,171
165,18
110,294
294,34
45,245
121,60
15,204
67,152
74,69
40,234
8,159
268,101
234,216
40,240
5,99
34,211
121,249
63,283
179,237
292,166
122,189
221,276
231,56
250,127
35,156
18,188
133,22
18,53
214,202
234,195
231,22
74,48
15,60
292,249
200,59
100,180
27,9
121,265
175,241
292,266
250,156
41,16
133,117
172,208
2,248
275,85
121,48
67,172
200,255
18,198
252,110
35,241
54,224
1,55
86,243
279,21
68,158
55,57
70,232
54,86
86,54
35,53
214,93
145,13
130,164
12,291
67,187
261,297
250,218
5,241
121,140
2,182
186,4
16,217
5,2
41,231
18,106
1,34
68,133
255,58
179,5
255,173
84,142
124,210
122,35
124,259
35,255
30,81
74,55
1,138
1,172
27,50
40,16
200,133
1,84
200,270
54,185
1,247
146,270
201,234
261,111
255,23
89,247
63,292
175,284
67,265
268,203
166,172
130,228
100,113
250,132
197,214
221,261
149,26
27,280
30,67
8,251
255,64
134,78
159,294
35,217
291,163
292,214
34,38
197,249
261,244
279,245
54,199
1,262
93,219
130,71
227,79
146,34
179,123
268,293
275,153
74,20
87,250
1,169
27,63
1,32
258,68
229,259
197,190
89,62
58,276
124,125
165,120
159,246
258,11
279,232
18,208
1,136
124,160
175,142
16,269
63,263
86,108
55,182
221,170
34,163
55,172
43,15
221,68
112,146
165,196
191,262
54,209
86,18
268,145
1,102
40,251
275,193
133,60
18,64
294,100
93,94
133,77
200,63
67,114
175,253
114,139
258,292
214,245
275,250
18,14
214,239
54,83
74,194
279,254
250,86
214,260
294,248
175,250
114,33
67,226
18,246
12,64
18,111
105,214
166,24
35,263
134,241
291,24
133,4
93,168
34,137
146,229
268,135
227,107
222,241
250,230
175,120
12,97
279,203
5,135
124,8
5,14
70,84
298,24
70,205
152,182
201,288
18,300
130,8
298,272
54,186
46,277
46,233
291,194
114,121
74,51
172,133
159,278
67,105
46,159
191,8
15,162
234,144
275,108
130,152
30,205
275,294
177,117
200,254
41,68
222,5
89,66
229,206
172,63
18,114
86,212
227,23
166,118
65,202
146,232
46,265
18,192
133,170
145,58
5,156
