person_id,house_id
92,82
83,46
244,37
6,69
269,12
299,28
105,41
129,71
187,40
4,10
26,59
210,15
269,81
35,31
26,37
249,2
269,94
5,87
139,45
186,21
177,72
249,49
227,87
71,6
140,70
169,10
169,44
72,15
147,63
252,9
51,78
26,2
188,21
26,49
178,66
299,37
242,24
58,54
186,68
102,54
75,15
5,4
242,69
188,54
118,18
24,2
126,93
209,99
178,63
57,28
201,47
182,51
126,75
150,40
120,98
6,17
186,2
102,81
116,23
180,87
170,45
186,86
210,59
91,77
58,95
147,35
177,60
250,90
293,44
187,57
278,61
129,34
77,2
129,17
209,53
244,70
257,33
26,15
188,18
188,95
225,57
242,21
116,14
129,1
210,55
118,91
51,56
192,10
92,45
190,24
32,60
220,5
210,45
171,30
91,14
35,42
1,69
26,72
278,43
